max,min,detection_probability,run
32.000000,11.000000,1.000000,99
32.000000,12.000000,1.000000,99
32.000000,13.000000,1.000000,99
32.000000,14.000000,1.000000,99
32.000000,15.000000,1.000000,99
32.000000,16.000000,1.000000,99
32.000000,17.000000,1.000000,99
32.000000,18.000000,0.954106,99
32.000000,19.000000,1.000000,99
32.000000,20.000000,1.000000,99
32.000000,21.000000,1.000000,99
32.000000,22.000000,1.000000,99
32.000000,23.000000,1.000000,99
32.000000,24.000000,1.000000,99
32.000000,25.000000,1.000000,99
32.000000,27.000000,1.000000,99
33.000000,0.000000,1.000000,99
33.000000,1.000000,1.000000,99
33.000000,2.000000,1.000000,99
33.000000,3.000000,1.000000,99
33.000000,4.000000,1.000000,99
33.000000,5.000000,1.000000,99
33.000000,6.000000,1.000000,99
33.000000,7.000000,1.000000,99
33.000000,8.000000,1.000000,99
33.000000,9.000000,1.000000,99
33.000000,10.000000,1.000000,99
33.000000,11.000000,1.000000,99
33.000000,12.000000,1.000000,99
33.000000,13.000000,1.000000,99
33.000000,14.000000,1.000000,99
33.000000,15.000000,1.000000,99
33.000000,16.000000,1.000000,99
33.000000,17.000000,0.993789,99
33.000000,18.000000,1.000000,99
33.000000,19.000000,1.000000,99
33.000000,20.000000,1.000000,99
33.000000,22.000000,1.000000,99
33.000000,24.000000,1.000000,99
33.000000,26.000000,1.000000,99
33.000000,27.000000,0.977612,99
33.000000,28.000000,1.000000,99
33.000000,30.000000,1.000000,99
34.000000,0.000000,1.000000,99
34.000000,1.000000,1.000000,99
34.000000,2.000000,1.000000,99
34.000000,3.000000,1.000000,99
34.000000,4.000000,1.000000,99
34.000000,5.000000,1.000000,99
34.000000,6.000000,1.000000,99
34.000000,7.000000,1.000000,99
34.000000,8.000000,1.000000,99
34.000000,9.000000,1.000000,99
34.000000,10.000000,1.000000,99
34.000000,11.000000,1.000000,99
34.000000,12.000000,1.000000,99
34.000000,13.000000,1.000000,99
34.000000,14.000000,1.000000,99
34.000000,15.000000,1.000000,99
34.000000,16.000000,1.000000,99
34.000000,17.000000,1.000000,99
34.000000,18.000000,1.000000,99
34.000000,19.000000,0.913043,99
34.000000,21.000000,1.000000,99
34.000000,22.000000,1.000000,99
34.000000,23.000000,1.000000,99
34.000000,24.000000,1.000000,99
34.000000,29.000000,1.000000,99
35.000000,0.000000,1.000000,99
35.000000,1.000000,1.000000,99
35.000000,2.000000,1.000000,99
35.000000,3.000000,1.000000,99
35.000000,4.000000,1.000000,99
35.000000,5.000000,1.000000,99
35.000000,6.000000,1.000000,99
35.000000,7.000000,1.000000,99
35.000000,8.000000,1.000000,99
35.000000,9.000000,1.000000,99
35.000000,10.000000,1.000000,99
35.000000,11.000000,1.000000,99
35.000000,12.000000,1.000000,99
35.000000,13.000000,1.000000,99
35.000000,14.000000,1.000000,99
35.000000,15.000000,1.000000,99
35.000000,16.000000,1.000000,99
35.000000,17.000000,1.000000,99
35.000000,18.000000,1.000000,99
35.000000,19.000000,1.000000,99
35.000000,20.000000,1.000000,99
35.000000,21.000000,1.000000,99
35.000000,22.000000,1.000000,99
35.000000,23.000000,1.000000,99
35.000000,24.000000,1.000000,99
35.000000,25.000000,0.978261,99
35.000000,26.000000,1.000000,99
36.000000,1.000000,1.000000,99
36.000000,2.000000,1.000000,99
36.000000,3.000000,1.000000,99
36.000000,4.000000,1.000000,99
36.000000,5.000000,1.000000,99
36.000000,6.000000,1.000000,99
36.000000,7.000000,1.000000,99
36.000000,8.000000,1.000000,99
36.000000,9.000000,1.000000,99
36.000000,10.000000,1.000000,99
36.000000,11.000000,1.000000,99
36.000000,12.000000,1.000000,99
36.000000,13.000000,1.000000,99
36.000000,14.000000,1.000000,99
36.000000,15.000000,1.000000,99
36.000000,16.000000,1.000000,99
36.000000,17.000000,1.000000,99
36.000000,18.000000,1.000000,99
36.000000,19.000000,1.000000,99
36.000000,20.000000,1.000000,99
36.000000,21.000000,1.000000,99
36.000000,22.000000,1.000000,99
36.000000,23.000000,0.961353,99
36.000000,24.000000,1.000000,99
36.000000,25.000000,1.000000,99
36.000000,26.000000,0.626812,99
36.000000,27.000000,0.996377,99
36.000000,28.000000,0.850000,99
36.000000,30.000000,1.000000,99
37.000000,0.000000,1.000000,99
37.000000,1.000000,1.000000,99
37.000000,2.000000,1.000000,99
37.000000,3.000000,1.000000,99
37.000000,4.000000,1.000000,99
37.000000,5.000000,1.000000,99
37.000000,6.000000,1.000000,99
37.000000,7.000000,1.000000,99
37.000000,8.000000,1.000000,99
37.000000,9.000000,1.000000,99
37.000000,10.000000,1.000000,99
37.000000,11.000000,1.000000,99
37.000000,12.000000,1.000000,99
37.000000,13.000000,1.000000,99
37.000000,14.000000,1.000000,99
37.000000,15.000000,1.000000,99
37.000000,16.000000,1.000000,99
37.000000,17.000000,1.000000,99
37.000000,18.000000,1.000000,99
37.000000,19.000000,1.000000,99
37.000000,21.000000,1.000000,99
37.000000,22.000000,1.000000,99
37.000000,23.000000,1.000000,99
37.000000,24.000000,1.000000,99
37.000000,25.000000,1.000000,99
37.000000,34.000000,0.913043,99
38.000000,1.000000,1.000000,99
38.000000,2.000000,1.000000,99
38.000000,3.000000,1.000000,99
38.000000,4.000000,1.000000,99
38.000000,5.000000,1.000000,99
38.000000,6.000000,1.000000,99
38.000000,7.000000,1.000000,99
38.000000,8.000000,1.000000,99
