name,date
A/Frederico_Westphalen/LACENRS_2130/2012|2012-07-26,2012.56557
A/Thailand/MR08398/2010|2010-09-01,2010.66575
A/Mexico_City/1514A00904139N_CP2/2010|2010-12-29,2010.99178
A/Alaska/15/2011|2011-03-01,2011.16164
A/Boston/DOA50/2011|2011-02-18,2011.13151
A/Boston/DOA87/2011|2011-04-25,2011.31233
A/Boston/DOA16/2011|2011-01-19,2011.04932
A/Singapore/S2010.627b/2010|2010-08-17,2010.62466
A/Boston/DOA69/2011|2011-03-02,2011.16438
A/Boston/DOA81/2011|2011-03-17,2011.20548
A/Boston/DOA11/2011|2011-01-13,2011.03288
A/Boston/DOA10/2011|2011-01-13,2011.03288
A/Boston/DOA06/2011|2011-01-12,2011.03014
A/Boston/DOA17/2011|2011-01-21,2011.05479
A/Boston/DOA29/2011|2011-01-27,2011.07123
A/Peru/PER295/2010|2010-12-20,2010.96712
A/Peru/PER204/2010|2010-12-20,2010.96712
A/Japan/22/2011|2011-12-20,2011.96712
A/Boston/DOA47/2011|2011-02-14,2011.12055
A/Canela/LACENRS_102/2011|2011-05-20,2011.38082
A/Paim_Filho/LACENRS_32/2011|2011-04-06,2011.26027
A/Porto_Alegre/LACENRS_557/2011|2011-06-30,2011.49315
A/Novo_Hamburgo/LACENRS_201/2011|2011-06-10,2011.43836
A/Uruguaiana/LACENRS_368/2011|2011-06-20,2011.46575
A/Bangkok/FLU_PMKA1169/2011|2011-03-25,2011.22740
A/Thailand/MR10462/2011|2011-02-04,2011.09315
A/Thailand/PY08156/2010|2010-08-17,2010.62466
A/California/NHRC0003/2011|2011-01-28,2011.07397
A/California/NHRC0004/2011|2011-01-28,2011.07397
A/Managua/3424.01/2010|2010-06-30,2010.49315
A/Illinois/NHRC0002/2011|2011-01-19,2011.04932
A/Peru/PER051/2012|2012-03-05,2012.17486
A/Peru/PER353/2012|2012-04-30,2012.32787
A/Wisconsin/22/2011|2011-04-15,2011.28493
A/Boston/DOA75/2011|2011-03-11,2011.18904
A/Boston/DOA86/2011|2011-03-29,2011.23836
A/Singapore/H2010.586/2010|2010-08-02,2010.58356
A/Singapore/C2010.310/2010|2010-04-23,2010.30685
A/Singapore/C2010.416/2010|2010-06-01,2010.41370
A/Singapore/H2010.422/2010|2010-06-03,2010.41918
A/Singapore/H2010.570/2010|2010-07-27,2010.56712
A/Singapore/S2010.627a/2010|2010-08-17,2010.62466
A/Singapore/S2010.345c/2010|2010-05-06,2010.34247
A/Thailand/KS08384/2010|2010-08-17,2010.62466
A/Singapore/S2010.611a/2010|2010-08-11,2010.60822
